Benchmark,simSeconds,simTicks,simInsts,hostSeconds,simFreq,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.fetchStats0.numBranches,system.cpu.fetchStats0.branchRate,system.membus.pktCount_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktCount_system.cpu.dcache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.dcache_port::system.mem_ctrls.port,system.cpu.power_state.pwrStateResidencyTicks::ON,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy
DP1f,0.014235,14235060000.0,149953.0,0.71,1000000000000.0,20066182799.0,609560.0,149953.0,28470120.0,189.846363,0.005267,21048.0,0.000739,464586.0,116666.0,929172.0,268821.0,14235060000.0,9492258300.0,7702630860.0
STc,0.004922,4921604000.0,70162.0,0.25,1000000000000.0,19465469221.0,609552.0,70162.0,9843208.0,140.270588,0.007129,17481.0,0.001776,175130.0,36820.0,350260.0,80457.0,4921604000.0,3314106255.0,2289554160.0
CS3,0.00423,4230271000.0,75047.0,0.22,1000000000000.0,19249161959.0,609552.0,75047.0,8460542.0,112.720056,0.008872,37306.0,0.004409,155150.0,9652.0,310300.0,22025.0,4230271000.0,2901090075.0,1967801070.0
MI,0.014294,14294303000.0,168493.0,0.7,1000000000000.0,20294782380.0,609556.0,168493.0,28588606.0,169.66129,0.005894,9305.0,0.000325,420946.0,135092.0,841892.0,277001.0,14294303000.0,9828725430.0,6649411590.0
MIP,0.002884,2884020000.0,46481.0,0.15,1000000000000.0,19339193591.0,609584.0,46481.0,5768040.0,124.065216,0.00806,575.0,0.0001,110606.0,1972.0,221212.0,6665.0,2884020000.0,1967518080.0,1354757430.0
MCS,0.022356,22355864000.0,272836.0,1.14,1000000000000.0,19677073304.0,609552.0,272836.0,44711728.0,163.871063,0.006102,29240.0,0.000654,767892.0,231368.0,1535784.0,629337.0,22355864000.0,14936101110.0,10495028910.0
CRm,0.003676,3676210000.0,53527.0,0.2,1000000000000.0,18676896239.0,609704.0,53527.0,7352420.0,137.330868,0.007282,11252.0,0.00153,124352.0,24726.0,248704.0,55925.0,3676210000.0,2505753765.0,1748638335.0
ML2,0.061789,61789306000.0,985504.0,3.08,1000000000000.0,20045295369.0,609552.0,985504.0,123578612.0,125.394958,0.007975,131639.0,0.001065,2102910.0,395186.0,4205820.0,1317381.0,61789306000.0,41884362675.0,32125819140.0
CChst,0.007214,7214322000.0,98996.0,0.36,1000000000000.0,20072864306.0,609572.0,98996.0,14428644.0,145.733574,0.006862,17529.0,0.001215,257586.0,28790.0,515172.0,39821.0,7214322000.0,4936153695.0,3368098605.0
MM,0.227105,227105430000.0,3045380.0,11.52,1000000000000.0,19721995543.0,609948.0,3045380.0,454210860.0,148.996678,0.006712,745547.0,0.001641,7411450.0,1937404.0,14822900.0,7336733.0,227105430000.0,154477361085.0,107719731090.0
ML2st,0.073696,73695962000.0,1051032.0,3.98,1000000000000.0,18538009603.0,609552.0,1051032.0,147391924.0,140.233962,0.007131,131636.0,0.000893,2496298.0,526256.0,4992596.0,1579521.0,73695962000.0,50193396615.0,38519460585.0
MC,0.026041,26040774000.0,338353.0,1.4,1000000000000.0,18609719553.0,609552.0,338353.0,52081548.0,153.921658,0.006497,29237.0,0.000561,751456.0,231348.0,1502912.0,629257.0,26040774000.0,17609524620.0,14026424430.0
